eta,C,n_hidden,epochs,accuracy_mean,accuracy_std
1e-05,0.001,30,500,0.5442467468060918,0.01573224673544453
1e-05,0.001,30,500,0.5426133558271589,0.01885184646174605
1e-06,0.001,50,500,0.5371987090281667,0.008142998868542183
1e-06,0.001,50,500,0.533812216597042,0.008549200126185116
1e-06,0.001,50,500,0.533708914027975,0.014386155260708524
1e-05,0.001,30,500,0.5308726574503151,0.01783308776851042
1e-05,0.001,50,500,0.5281052726995893,0.007597475521110415
1e-05,0.001,50,500,0.5280365959058253,0.006690280277488787
1e-05,0.001,50,500,0.5268844418863579,0.012641390773646758
1e-06,0.001,30,500,0.516209638199433,0.015867199817607983
1e-06,0.001,30,500,0.5085949463211831,0.0035264941757278314
1e-06,0.001,30,500,0.4360726111447124,0.09110279899917648
